"","Credit_Limit","Income_Category","Customer_Age","Total_Trans_Ct","Months_on_book","Gender","Education_Level","Marital_Status"
"1847",3616,"Less than $40K",33,72,26,"F","High School","Divorced"
"1848",5924,"$60K - $80K",37,80,30,"M","Doctorate","Single"
"1849",14535,"$40K - $60K",47,76,41,"M","Graduate","Married"
"1850",2833,"Less than $40K",59,23,49,"F","High School","Married"
"1851",1479,"Less than $40K",59,32,49,"F","Post-Graduate","Married"
"1853",2237,"Less than $40K",26,36,13,"M","Uneducated","Single"
"1854",2900,"$120K +",45,64,40,"M","College","Single"
"1856",8695,"$80K - $120K",52,58,40,"M","Post-Graduate","Single"
"1857",6692,"$40K - $60K",47,76,41,"M","High School","Married"
"1859",2501,"$60K - $80K",34,34,27,"M","Graduate","Married"
"1860",6338,"$80K - $120K",36,39,27,"M","College","Married"
"1862",7578,"$40K - $60K",57,29,49,"F","Uneducated","Married"
"1863",2963,"Less than $40K",29,48,18,"M","Post-Graduate","Married"
"1864",8260,"$80K - $120K",37,47,20,"M","Graduate","Married"
"1866",3864,"$80K - $120K",55,32,35,"M","High School","Married"
"1867",10230,"$80K - $120K",56,34,47,"M","Graduate","Married"
"1869",25790,"$120K +",39,70,36,"M","Uneducated","Married"
"1870",2675,"Less than $40K",63,56,53,"F","Graduate","Married"
"1872",5815,"$60K - $80K",38,42,26,"M","High School","Married"
"1873",2595,"Less than $40K",60,27,52,"M","Uneducated","Married"
"1874",3421,"$60K - $80K",38,39,36,"M","Uneducated","Married"
"1875",6922,"$80K - $120K",63,28,51,"M","High School","Married"
"1876",6979,"Less than $40K",43,44,36,"F","College","Married"
"1877",2594,"Less than $40K",39,43,34,"F","Graduate","Married"
"1880",2523,"$40K - $60K",35,50,29,"F","Graduate","Married"
"1882",1473,"$40K - $60K",26,39,13,"M","High School","Single"
"1883",17116,"$120K +",36,45,26,"M","College","Married"
"1884",4631,"$80K - $120K",37,37,17,"M","College","Married"
"1886",32338,"$80K - $120K",49,83,37,"M","High School","Divorced"
"1887",2253,"$60K - $80K",56,38,36,"M","Uneducated","Married"
"1888",16611,"$60K - $80K",45,48,38,"M","College","Married"
"1891",3480,"Less than $40K",28,75,19,"M","High School","Single"
"1892",3549,"Less than $40K",65,22,56,"F","Post-Graduate","Married"
"1893",1438.3,"Less than $40K",26,39,15,"F","College","Single"
"1894",3136,"Less than $40K",57,34,36,"F","Uneducated","Married"
"1895",34516,"$120K +",47,32,36,"M","Graduate","Single"
"1896",6814,"Less than $40K",54,30,48,"F","Graduate","Married"
"1899",28170,"$80K - $120K",43,28,33,"M","Graduate","Married"
"1900",6610,"Less than $40K",54,69,48,"F","Graduate","Single"
"1901",15755,"$60K - $80K",37,61,26,"M","College","Single"
"1902",2711,"$80K - $120K",33,42,36,"M","Graduate","Married"
"1903",3735,"$40K - $60K",38,35,25,"M","College","Married"
"1904",10216,"$80K - $120K",36,69,36,"M","Graduate","Single"
"1908",7050,"$60K - $80K",45,36,35,"M","High School","Single"
"1909",1775,"Less than $40K",26,43,13,"M","High School","Single"
"1910",8960,"$40K - $60K",42,26,30,"M","Graduate","Single"
"1911",2355,"$80K - $120K",33,27,36,"M","College","Married"
"1912",6803,"$40K - $60K",57,30,47,"F","High School","Married"
"1913",2145,"$60K - $80K",55,31,50,"M","Graduate","Married"
"1914",3919,"$80K - $120K",40,51,36,"M","Uneducated","Single"
"1915",4500,"Less than $40K",32,63,23,"M","High School","Single"
"1916",2941,"Less than $40K",62,27,54,"F","High School","Married"
"1917",7102,"$60K - $80K",26,41,13,"M","Graduate","Single"
"1919",10378,"$80K - $120K",57,32,52,"M","Doctorate","Married"
"1921",18178,"$80K - $120K",47,37,34,"M","Graduate","Married"
"1923",1438.3,"Less than $40K",49,41,36,"F","Uneducated","Married"
"1924",8082,"$80K - $120K",35,29,20,"M","Graduate","Married"
"1927",2967,"Less than $40K",55,59,36,"F","College","Married"
"1928",3092,"$60K - $80K",36,61,17,"M","Graduate","Married"
"1929",1618,"$80K - $120K",54,31,42,"M","High School","Married"
"1930",2498,"Less than $40K",30,35,23,"F","Graduate","Married"
"1931",2564,"$40K - $60K",46,45,41,"M","Graduate","Married"
"1932",10540,"$80K - $120K",43,45,34,"M","Graduate","Married"
"1933",13384,"$120K +",34,33,28,"M","Graduate","Married"
"1934",16208,"$80K - $120K",55,56,48,"M","Graduate","Married"
"1936",19214,"$80K - $120K",44,47,33,"M","Graduate","Married"
"1938",13395,"$80K - $120K",34,69,29,"M","Graduate","Single"
"1939",17126,"$60K - $80K",40,79,31,"M","Graduate","Married"
"1940",8083,"$60K - $80K",42,84,36,"M","College","Single"
"1941",8995,"$40K - $60K",36,61,28,"M","Graduate","Divorced"
"1942",2404,"Less than $40K",26,63,13,"F","High School","Single"
"1943",2807,"$40K - $60K",42,26,32,"M","High School","Married"
"1944",3097,"$40K - $60K",55,24,36,"M","Graduate","Married"
"1946",2175,"$60K - $80K",61,64,47,"M","High School","Single"
"1947",28020,"$120K +",41,36,28,"M","College","Married"
"1948",2640,"Less than $40K",35,80,23,"F","Graduate","Single"
"1949",31313,"$120K +",34,62,27,"M","Graduate","Single"
"1950",7304,"$80K - $120K",37,63,31,"M","High School","Married"
"1952",1438.3,"$40K - $60K",26,89,21,"M","College","Divorced"
"1953",3161,"Less than $40K",54,62,41,"F","High School","Married"
"1955",3088,"Less than $40K",56,54,36,"F","Graduate","Married"
"1959",19279,"$80K - $120K",40,56,28,"M","High School","Single"
"1960",3792,"Less than $40K",33,39,20,"F","Graduate","Married"
"1961",2084,"Less than $40K",64,37,53,"M","Graduate","Married"
"1962",34516,"$80K - $120K",33,70,28,"M","High School","Single"
"1963",6849,"$80K - $120K",52,43,43,"M","Post-Graduate","Married"
"1964",2417,"Less than $40K",59,50,39,"F","Uneducated","Married"
"1967",2462,"Less than $40K",29,57,20,"M","Graduate","Divorced"
"1970",3992,"Less than $40K",37,32,36,"F","Graduate","Married"
"1971",3568,"Less than $40K",32,35,14,"M","High School","Married"
"1972",7776,"$60K - $80K",36,87,27,"M","Graduate","Single"
"1974",9355,"$80K - $120K",53,38,36,"M","High School","Married"
"1977",7049,"$120K +",36,51,25,"M","Uneducated","Single"
"1978",2033,"$40K - $60K",26,55,18,"F","Uneducated","Single"
"1979",5153,"$40K - $60K",38,63,20,"F","Graduate","Married"
"1980",2062,"$40K - $60K",32,41,22,"F","High School","Married"
"1981",2005,"Less than $40K",37,61,31,"F","Graduate","Single"
"1983",4589,"$40K - $60K",55,33,46,"F","Graduate","Married"
"1985",8184,"$60K - $80K",58,49,46,"M","High School","Married"
"1987",30210,"$80K - $120K",47,65,36,"M","High School","Married"
"1988",6942,"Less than $40K",32,71,26,"M","Graduate","Single"
"1989",14551,"$60K - $80K",56,35,37,"M","High School","Married"
"1990",1438.3,"Less than $40K",34,67,13,"F","Doctorate","Single"
"1992",30967,"$120K +",55,35,48,"M","Uneducated","Married"
"1993",7866,"$80K - $120K",43,53,36,"M","High School","Married"
"1994",2718,"Less than $40K",31,49,21,"M","College","Married"
"1995",3084,"Less than $40K",54,22,36,"F","College","Married"
"1996",17302,"$80K - $120K",52,30,42,"M","Graduate","Married"
"1997",12159,"$40K - $60K",48,34,36,"M","College","Divorced"
"1998",2797,"Less than $40K",54,36,47,"F","High School","Single"
"1999",2618,"$60K - $80K",33,86,28,"M","Uneducated","Single"
"2001",2063,"Less than $40K",30,43,24,"F","Uneducated","Married"
"2002",8154,"Less than $40K",49,72,43,"F","Graduate","Married"
"2005",11450,"$80K - $120K",53,45,36,"M","Uneducated","Married"
"2007",4245,"$60K - $80K",34,34,23,"M","College","Married"
"2008",21953,"$80K - $120K",53,37,45,"M","College","Married"
"2009",1614,"$40K - $60K",32,63,21,"M","Graduate","Single"
"2010",5140,"$80K - $120K",39,36,22,"M","Graduate","Married"
"2011",31762,"$120K +",57,36,46,"M","High School","Married"
"2014",15488,"$80K - $120K",36,50,32,"M","Graduate","Married"
"2015",2503,"$40K - $60K",39,58,34,"M","College","Divorced"
"2016",3312,"Less than $40K",31,50,36,"M","Graduate","Divorced"
"2017",6269,"$40K - $60K",31,57,36,"M","Graduate","Single"
"2018",20337,"$60K - $80K",36,74,36,"M","Graduate","Single"
"2019",2224,"Less than $40K",47,41,42,"F","Graduate","Single"
"2022",9959,"$80K - $120K",39,44,27,"M","Graduate","Married"
"2024",2031,"$40K - $60K",37,36,36,"M","Graduate","Married"
"2025",1654,"$80K - $120K",58,60,49,"M","Graduate","Married"
"2026",4608,"Less than $40K",58,31,39,"F","Graduate","Married"
"2027",3908,"$40K - $60K",37,30,36,"M","Graduate","Married"
"2028",2798,"$80K - $120K",54,55,46,"M","Graduate","Married"
"2029",2551,"Less than $40K",45,63,39,"F","Uneducated","Single"
"2031",7451,"$40K - $60K",53,49,43,"M","Graduate","Married"
"2032",2617,"Less than $40K",34,47,30,"F","College","Married"
"2034",6407,"$40K - $60K",32,43,18,"M","Graduate","Married"
"2035",1438.3,"Less than $40K",38,58,27,"M","Uneducated","Married"
"2036",2672,"$80K - $120K",37,52,28,"M","Uneducated","Married"
"2038",2677,"Less than $40K",47,63,36,"F","Graduate","Single"
"2040",2240,"$60K - $80K",54,36,43,"M","High School","Married"
"2041",6052,"$80K - $120K",53,37,40,"M","College","Married"
"2042",2562,"Less than $40K",33,70,23,"F","College","Single"
"2043",15377,"$60K - $80K",49,49,43,"M","Graduate","Married"
"2045",1438.3,"$40K - $60K",31,49,24,"M","Uneducated","Married"
"2046",1438.3,"$120K +",43,45,31,"M","Graduate","Single"
"2047",16040,"$80K - $120K",39,49,26,"M","Uneducated","Married"
"2048",2801,"$40K - $60K",38,45,36,"M","High School","Married"
"2049",2658,"Less than $40K",62,41,49,"F","Uneducated","Married"
"2052",3143,"$40K - $60K",30,57,22,"M","College","Divorced"
"2053",5106,"$80K - $120K",46,74,39,"M","Doctorate","Married"
"2054",9871,"$60K - $80K",39,34,31,"M","College","Married"
"2055",1525,"$40K - $60K",53,47,43,"F","College","Married"
"2056",19630,"$120K +",34,39,36,"M","Uneducated","Married"
"2057",12547,"Less than $40K",54,56,36,"F","Graduate","Divorced"
"2058",17686,"$80K - $120K",54,46,36,"M","High School","Single"
"2059",3257,"$60K - $80K",39,35,28,"M","Uneducated","Married"
"2060",4824,"Less than $40K",36,32,28,"F","Graduate","Married"
"2061",8603,"$40K - $60K",38,40,32,"M","High School","Married"
"2063",3818,"Less than $40K",28,87,23,"F","Graduate","Divorced"
"2065",5387,"$40K - $60K",57,36,48,"M","Graduate","Married"
"2066",2930,"Less than $40K",48,21,36,"F","Graduate","Married"
"2068",9303,"$60K - $80K",38,37,25,"M","Uneducated","Married"
"2070",2218,"$60K - $80K",37,58,30,"M","High School","Married"
"2072",5335,"$40K - $60K",54,29,49,"F","Uneducated","Married"
"2073",7187,"$60K - $80K",52,26,43,"M","Graduate","Married"
"2074",2590,"Less than $40K",53,40,39,"F","Graduate","Married"
"2075",4255,"Less than $40K",27,57,19,"F","High School","Single"
"2076",2778,"Less than $40K",32,33,26,"F","High School","Married"
"2077",10711,"$120K +",57,29,51,"M","Graduate","Married"
"2079",2513,"Less than $40K",54,30,45,"F","High School","Married"
"2080",3291,"$60K - $80K",45,38,37,"M","Graduate","Divorced"
"2081",8917,"Less than $40K",36,80,25,"F","Post-Graduate","Divorced"
"2082",4955,"$40K - $60K",39,38,29,"F","Graduate","Married"
"2083",2909,"$40K - $60K",39,26,30,"F","Graduate","Married"
"2084",34516,"$80K - $120K",34,75,21,"M","High School","Single"
"2085",1438.3,"$40K - $60K",54,41,43,"F","Uneducated","Married"
"2086",14015,"$80K - $120K",54,49,49,"M","High School","Married"
"2087",2540,"$60K - $80K",36,61,28,"M","Graduate","Married"
"2088",3497,"$120K +",37,61,24,"M","High School","Divorced"
"2089",3682,"$40K - $60K",27,35,15,"M","Uneducated","Married"
"2090",4430,"Less than $40K",55,70,41,"F","Graduate","Single"
"2092",15124,"$60K - $80K",56,44,36,"M","Graduate","Married"
"2093",7712,"Less than $40K",58,34,53,"F","Graduate","Married"
"2096",3657,"$60K - $80K",38,55,32,"M","High School","Married"
"2098",5830,"$40K - $60K",33,60,24,"F","Graduate","Single"
"2101",2400,"$60K - $80K",33,70,23,"M","High School","Single"
"2102",2311,"Less than $40K",44,33,39,"F","Doctorate","Divorced"
"2104",9131,"$80K - $120K",34,36,25,"M","Uneducated","Married"
"2105",1438.3,"$40K - $60K",63,71,56,"F","Uneducated","Single"
"2106",1438.3,"Less than $40K",37,66,31,"F","High School","Single"
"2107",5471,"$60K - $80K",39,46,36,"M","Post-Graduate","Married"
"2108",8823,"$80K - $120K",39,32,34,"M","High School","Married"
"2109",2173,"$60K - $80K",55,26,44,"M","Graduate","Married"
"2111",8571,"$80K - $120K",57,28,51,"M","Doctorate","Married"
"2112",2803,"Less than $40K",45,71,36,"F","Graduate","Divorced"
"2113",3924,"$80K - $120K",53,30,36,"M","Graduate","Married"
"2114",5663,"$60K - $80K",37,61,23,"M","Graduate","Single"
"2115",3955,"Less than $40K",60,43,49,"F","Uneducated","Married"
"2116",7997,"Less than $40K",29,56,23,"F","Uneducated","Single"
"2117",3652,"Less than $40K",56,39,36,"F","Uneducated","Married"
"2118",12702,"$80K - $120K",37,40,27,"M","Graduate","Married"
"2119",7189,"$60K - $80K",43,52,23,"M","High School","Married"
"2120",12421,"$80K - $120K",58,49,42,"M","Graduate","Married"
"2121",2585,"Less than $40K",29,73,17,"F","Post-Graduate","Divorced"
"2122",2818,"$120K +",38,45,29,"M","High School","Married"
"2124",3143,"Less than $40K",62,25,49,"F","Graduate","Married"
"2126",3119,"$40K - $60K",26,62,17,"F","Graduate","Single"
"2128",1438.3,"$40K - $60K",51,68,44,"F","College","Married"
"2129",3702,"Less than $40K",39,64,34,"M","Uneducated","Married"
"2131",2701,"$40K - $60K",59,36,50,"M","High School","Married"
"2134",2469,"$40K - $60K",31,36,20,"M","Graduate","Married"
"2135",3091,"$40K - $60K",37,65,36,"M","High School","Divorced"
"2136",2683,"$40K - $60K",36,73,32,"M","High School","Single"
"2138",2942,"Less than $40K",61,28,53,"F","Graduate","Married"
"2139",2735,"Less than $40K",26,58,36,"M","High School","Single"
"2140",15279,"$80K - $120K",35,57,36,"M","College","Married"
"2141",14938,"$120K +",53,51,43,"M","College","Married"
"2142",4328,"Less than $40K",59,54,42,"M","High School","Married"
"2143",34516,"$80K - $120K",37,52,24,"M","Graduate","Single"
"2144",5824,"$60K - $80K",38,44,26,"M","High School","Married"
"2146",7959,"$60K - $80K",37,29,36,"M","Uneducated","Married"
"2147",4459,"$120K +",33,48,21,"M","Graduate","Married"
"2148",17162,"$80K - $120K",38,54,24,"M","College","Married"
"2149",16254,"$120K +",56,55,50,"M","Uneducated","Married"
"2150",3278,"$80K - $120K",59,32,47,"M","High School","Married"
"2151",7173,"Less than $40K",30,33,17,"M","Post-Graduate","Married"
"2152",3295,"$40K - $60K",56,34,36,"M","High School","Married"
"2154",4232,"$60K - $80K",31,69,24,"M","Graduate","Divorced"
"2155",2703,"$40K - $60K",26,29,36,"M","College","Single"
"2156",2710,"Less than $40K",29,37,18,"M","Graduate","Married"
"2157",2322,"Less than $40K",53,27,42,"F","Uneducated","Married"
"2158",5931,"Less than $40K",35,71,36,"F","High School","Single"
"2160",1438.3,"Less than $40K",56,24,51,"F","High School","Married"
"2162",8682,"$40K - $60K",35,36,36,"M","Uneducated","Married"
"2165",1651,"$120K +",36,54,29,"M","Graduate","Divorced"
"2167",2212,"$60K - $80K",58,34,47,"M","High School","Married"
"2168",2157,"Less than $40K",35,59,21,"F","High School","Married"
"2169",2575,"$40K - $60K",39,33,26,"F","Graduate","Married"
"2170",8705,"Less than $40K",65,88,56,"F","Uneducated","Single"
"2171",3838,"Less than $40K",65,29,56,"M","High School","Married"
"2173",5366,"$40K - $60K",56,38,40,"F","Uneducated","Married"
"2174",2994,"$80K - $120K",58,32,36,"M","High School","Married"
"2176",1737,"Less than $40K",51,42,36,"F","College","Single"
"2177",18431,"$40K - $60K",58,61,50,"M","Uneducated","Single"
"2178",2263,"Less than $40K",34,37,23,"F","Graduate","Married"
"2182",11909,"$80K - $120K",53,53,43,"M","Graduate","Single"
"2183",21390,"$80K - $120K",32,59,21,"M","College","Single"
"2184",9264,"$60K - $80K",49,79,39,"M","High School","Married"
"2185",5484,"Less than $40K",39,51,26,"F","Uneducated","Married"
"2188",3127,"$80K - $120K",37,49,36,"M","Uneducated","Single"
"2189",7756,"$40K - $60K",38,51,36,"M","Uneducated","Single"
"2190",34516,"$120K +",46,58,33,"M","Uneducated","Single"
"2191",5605,"$60K - $80K",36,41,36,"M","Uneducated","Married"
"2192",2946,"$80K - $120K",33,48,36,"M","Post-Graduate","Married"
"2193",8886,"Less than $40K",58,79,54,"F","Post-Graduate","Single"
"2194",3104,"$120K +",46,74,36,"M","Doctorate","Married"
"2196",3312,"Less than $40K",54,55,46,"F","Doctorate","Married"
"2197",34516,"$120K +",50,36,40,"M","High School","Married"
"2198",5246,"$60K - $80K",41,56,33,"M","College","Single"
"2200",3103,"Less than $40K",36,48,30,"F","Graduate","Married"
"2204",14690,"$80K - $120K",36,68,27,"M","High School","Single"
"2205",6629,"$40K - $60K",45,69,32,"M","Graduate","Single"
"2206",5535,"$40K - $60K",38,38,27,"M","Graduate","Married"
"2207",2544,"Less than $40K",35,49,22,"F","High School","Married"
"2208",3305,"Less than $40K",48,57,37,"M","College","Married"
"2209",34516,"$120K +",51,42,36,"M","Uneducated","Single"
"2212",4260,"$80K - $120K",31,52,36,"M","College","Married"
"2213",7291,"Less than $40K",40,56,26,"F","College","Single"
"2215",6500,"$40K - $60K",63,27,56,"M","Graduate","Married"
"2217",6662,"Less than $40K",31,83,22,"F","High School","Single"
"2218",5846,"$80K - $120K",36,41,25,"M","Uneducated","Married"
"2219",8063,"$60K - $80K",34,49,27,"M","High School","Married"
"2221",4597,"$60K - $80K",55,38,49,"M","Doctorate","Married"
"2223",17884,"$60K - $80K",45,49,35,"M","College","Married"
"2225",2046,"Less than $40K",40,49,32,"F","High School","Married"
"2226",6370,"Less than $40K",46,40,36,"F","Uneducated","Married"
"2227",2737,"Less than $40K",54,37,46,"F","Graduate","Married"
"2228",2622,"Less than $40K",36,79,25,"M","Graduate","Single"
"2230",2258,"Less than $40K",37,55,30,"F","Uneducated","Single"
"2231",6510,"$80K - $120K",35,49,25,"M","Graduate","Single"
"2234",3252,"$40K - $60K",37,72,19,"F","High School","Single"
"2237",7023,"Less than $40K",65,51,56,"F","Graduate","Married"
"2238",8302,"$120K +",55,34,42,"M","Graduate","Married"
"2239",9959,"$80K - $120K",55,28,47,"M","Graduate","Married"
"2240",3636,"$40K - $60K",41,79,36,"M","Uneducated","Single"
"2241",5184,"Less than $40K",57,55,46,"F","High School","Married"
"2242",14575,"$60K - $80K",37,80,29,"M","High School","Single"
"2244",1438.3,"$40K - $60K",62,32,49,"F","College","Married"
"2246",8322,"Less than $40K",47,62,36,"F","Graduate","Married"
"2247",10110,"Less than $40K",44,74,36,"F","Graduate","Married"
"2248",2707,"Less than $40K",34,33,28,"F","High School","Married"
"2251",9760,"$80K - $120K",40,86,23,"M","Uneducated","Married"
"2252",6103,"$40K - $60K",51,64,40,"M","Doctorate","Single"
"2253",2246,"$40K - $60K",65,32,56,"M","High School","Married"
"2254",4930,"$80K - $120K",46,77,35,"M","Graduate","Single"
"2255",3178,"$40K - $60K",27,31,16,"M","Graduate","Single"
"2258",2638,"$40K - $60K",34,43,17,"M","Graduate","Married"
"2259",2004,"Less than $40K",35,60,36,"F","Uneducated","Married"
"2260",2414,"Less than $40K",55,62,49,"F","Post-Graduate","Married"
"2261",1438.3,"Less than $40K",60,27,45,"F","Doctorate","Married"
"2262",2043,"$60K - $80K",56,57,44,"M","Graduate","Married"
"2263",34516,"$80K - $120K",52,67,46,"M","High School","Single"
"2264",3111,"$40K - $60K",45,41,36,"F","Uneducated","Married"
"2265",2585,"$120K +",56,33,48,"M","Graduate","Married"
"2268",4185,"$80K - $120K",34,55,23,"M","High School","Married"
"2269",4759,"$60K - $80K",39,57,36,"M","Uneducated","Married"
"2270",24457,"$120K +",36,65,36,"M","Graduate","Single"
"2274",3471,"Less than $40K",39,34,26,"F","Uneducated","Married"
"2275",2250,"Less than $40K",61,28,51,"F","Graduate","Married"
"2277",9433,"Less than $40K",45,81,36,"F","High School","Divorced"
"2278",9180,"$120K +",34,49,28,"M","Uneducated","Divorced"
"2279",8818,"$40K - $60K",37,31,36,"M","Graduate","Married"
"2280",4066,"Less than $40K",44,77,36,"F","Graduate","Single"
"2281",9031,"$80K - $120K",56,35,36,"M","Uneducated","Married"
"2283",4161,"Less than $40K",65,30,53,"F","Graduate","Married"
"2284",2740,"Less than $40K",26,44,15,"M","Graduate","Single"
"2286",8167,"$60K - $80K",34,51,24,"M","Uneducated","Married"
"2287",23742,"$120K +",51,57,41,"M","College","Married"
"2289",26783,"$80K - $120K",30,46,23,"M","Graduate","Divorced"
"2290",25516,"$80K - $120K",35,38,27,"M","Post-Graduate","Married"
"2291",4815,"$40K - $60K",32,36,27,"M","Graduate","Married"
"2294",23462,"$80K - $120K",53,33,44,"M","High School","Married"
"2295",2252,"$60K - $80K",55,27,36,"M","College","Married"
"2298",3540,"Less than $40K",31,45,26,"F","Graduate","Married"
"2300",13129,"$40K - $60K",45,56,34,"M","Graduate","Married"
"2302",3396,"Less than $40K",61,36,53,"F","High School","Married"
"2303",4712,"Less than $40K",31,62,20,"F","Uneducated","Single"
"2304",7638,"$60K - $80K",37,58,36,"M","Graduate","Single"
"2305",2624,"$60K - $80K",41,74,34,"M","Post-Graduate","Married"
"2306",17934,"$120K +",58,48,52,"M","Graduate","Married"
"2307",15198,"$40K - $60K",45,64,39,"M","Graduate","Married"
"2308",3191,"Less than $40K",57,35,47,"F","High School","Married"
"2311",12875,"$120K +",55,40,40,"M","Doctorate","Married"
"2312",2602,"$40K - $60K",41,78,36,"F","High School","Married"
"2313",2041,"Less than $40K",55,48,51,"F","Uneducated","Married"
"2314",2548,"Less than $40K",52,54,45,"F","Graduate","Married"
"2315",4698,"$120K +",57,35,49,"M","Graduate","Married"
"2317",8217,"$80K - $120K",47,56,36,"M","High School","Married"
"2318",10091,"Less than $40K",42,64,36,"F","Uneducated","Single"
"2319",19074,"$80K - $120K",39,74,34,"M","Graduate","Single"
"2320",34516,"$60K - $80K",39,78,34,"M","Graduate","Single"
"2321",12852,"$120K +",36,33,29,"M","Graduate","Married"
"2322",12763,"$60K - $80K",36,46,21,"M","Uneducated","Married"
"2323",2827,"Less than $40K",29,30,19,"M","Graduate","Married"
"2325",1825,"Less than $40K",37,54,28,"F","Graduate","Married"
"2326",1438.3,"Less than $40K",61,31,56,"M","Post-Graduate","Married"
"2327",5497,"$60K - $80K",36,38,36,"M","High School","Married"
"2328",6778,"$40K - $60K",51,71,45,"F","Graduate","Married"
"2330",3273,"Less than $40K",31,57,22,"F","High School","Married"
"2331",9371,"$40K - $60K",33,67,25,"M","Doctorate","Single"
"2332",1438.3,"Less than $40K",50,73,38,"F","High School","Single"
"2335",6168,"$40K - $60K",48,80,29,"M","High School","Married"
"2338",8307,"$40K - $60K",50,36,40,"F","Graduate","Divorced"
"2339",30753,"$80K - $120K",39,33,31,"M","Graduate","Married"
"2340",2731,"$60K - $80K",39,38,26,"M","College","Married"
"2343",8058,"$80K - $120K",37,52,26,"M","Graduate","Married"
"2347",10962,"$40K - $60K",65,71,36,"F","High School","Single"
"2350",2997,"$40K - $60K",38,60,22,"F","Graduate","Married"
"2351",2647,"$80K - $120K",41,47,35,"M","College","Single"
"2352",4580,"Less than $40K",55,34,47,"F","Graduate","Married"
"2357",26101,"$80K - $120K",55,48,42,"M","College","Married"
"2358",14270,"$80K - $120K",57,37,45,"M","College","Married"
"2360",3230,"Less than $40K",35,31,21,"F","Graduate","Married"
"2361",8881,"Less than $40K",46,54,38,"F","College","Married"
"2364",2621,"$40K - $60K",31,71,21,"M","Uneducated","Divorced"
"2366",4419,"Less than $40K",50,75,32,"F","College","Single"
"2367",9235,"Less than $40K",44,42,39,"F","High School","Divorced"
"2368",3055,"Less than $40K",63,40,56,"F","High School","Married"
"2369",19412,"$80K - $120K",41,41,35,"M","Graduate","Divorced"
"2371",4666,"$60K - $80K",55,28,36,"M","Graduate","Married"
"2372",4894,"Less than $40K",48,67,38,"F","College","Single"
"2373",27389,"$120K +",35,60,36,"M","High School","Single"
"2374",2132,"Less than $40K",30,74,18,"F","Post-Graduate","Single"
"2375",6590,"$80K - $120K",37,67,24,"M","High School","Single"
"2376",3176,"Less than $40K",53,53,36,"F","Graduate","Married"
"2377",4288,"$60K - $80K",37,57,27,"M","Graduate","Single"
"2379",5945,"Less than $40K",48,67,43,"M","Doctorate","Single"
"2380",3350,"$40K - $60K",37,61,17,"M","Graduate","Married"
"2381",4008,"$60K - $80K",35,58,26,"M","High School","Married"
"2382",5780,"Less than $40K",35,65,27,"F","Graduate","Single"
"2388",7081,"$80K - $120K",33,47,23,"M","College","Single"
"2389",6824,"$40K - $60K",36,48,28,"M","Graduate","Married"
"2390",1438.3,"Less than $40K",47,40,36,"F","Doctorate","Married"
"2391",2683,"Less than $40K",41,52,29,"M","Graduate","Married"
"2392",12280,"$60K - $80K",46,70,40,"M","Graduate","Single"
"2393",14607,"$60K - $80K",58,38,36,"M","Graduate","Married"
"2394",2267,"Less than $40K",53,64,48,"F","Doctorate","Single"
"2397",11332,"$80K - $120K",49,65,39,"M","Graduate","Married"
"2398",3073,"Less than $40K",35,55,23,"F","High School","Married"
"2399",34516,"$120K +",47,46,27,"M","College","Married"
"2400",5323,"$60K - $80K",38,33,34,"M","Graduate","Married"
"2401",9078,"$80K - $120K",56,34,44,"M","Graduate","Married"
"2402",27029,"$120K +",56,27,46,"M","High School","Married"
"2403",9859,"$60K - $80K",38,72,25,"M","High School","Single"
"2405",2608,"$40K - $60K",37,72,25,"M","High School","Single"
"2407",4613,"Less than $40K",65,62,56,"F","Graduate","Single"
"2408",10386,"$80K - $120K",38,52,27,"M","College","Married"
"2410",2657,"$40K - $60K",26,41,36,"M","College","Single"
"2411",5031,"Less than $40K",58,34,44,"F","Graduate","Married"
"2414",2423,"Less than $40K",48,64,43,"F","Graduate","Single"
"2416",3377,"$40K - $60K",62,44,51,"F","Doctorate","Married"
"2418",2295,"Less than $40K",40,62,29,"F","Graduate","Single"
"2419",3150,"$40K - $60K",46,71,41,"M","High School","Single"
"2420",2165,"$40K - $60K",58,33,36,"M","High School","Married"
"2423",1612,"$120K +",53,33,41,"M","Graduate","Married"
"2424",14593,"$60K - $80K",45,72,36,"M","Graduate","Married"
"2425",8327,"$40K - $60K",48,82,38,"M","Uneducated","Single"
"2426",34516,"$60K - $80K",43,86,37,"M","Post-Graduate","Married"
"2427",6479,"$60K - $80K",60,47,55,"M","Uneducated","Married"
"2428",18442,"$120K +",56,36,41,"M","High School","Married"
"2429",2800,"$40K - $60K",43,41,31,"F","College","Married"
"2430",3032,"Less than $40K",57,30,36,"F","High School","Married"
"2431",2151,"$40K - $60K",52,58,47,"F","Uneducated","Married"
"2434",7709,"$60K - $80K",38,61,32,"M","Graduate","Married"
"2435",4065,"$40K - $60K",53,36,33,"M","College","Married"
"2437",11811,"$80K - $120K",58,29,44,"M","College","Married"
"2438",7440,"Less than $40K",34,63,36,"F","College","Single"
"2439",12714,"$40K - $60K",36,53,20,"M","High School","Single"
"2440",3735,"$40K - $60K",55,41,35,"F","Graduate","Single"
"2441",25882,"$80K - $120K",54,48,43,"M","Uneducated","Married"
"2442",3877,"$40K - $60K",36,42,36,"M","College","Married"
"2444",11023,"$120K +",53,41,36,"M","Graduate","Married"
